案名,階段,完成率,已售戶數,總戶數,狀態
星河匯,結構體施工,73,168,210,正常
仁愛敦品,裝修工程,88,140,150,正常
大直觀邸,基礎開挖,8,12,180,落後
內湖科技心,結構體施工,45,95,240,正常
天母悅賓,裝修工程,95,76,80,即將完工
北屯映月,基礎開挖,15,20,190,落後
西屯朗庭,結構體施工,60,130,260,正常
中科智匯,結構體施工,33,70,220,落後
七期首善,裝修工程,100,120,120,即將完工
安平運河岸,基礎開挖,18,25,200,落後
左營新城,結構體施工,52,88,170,正常
鳳山學府,結構體施工,66,150,230,正常
橋頭科學城,基礎開挖,5,8,300,落後
林口世貿一號,裝修工程,84,110,130,正常
淡海輕軌苑,結構體施工,41,60,150,正常
桃園藝文特區,裝修工程,92,140,150,即將完工
竹北高鐵匯,結構體施工,58,175,300,正常
苗栗頭份匯,基礎開挖,10,15,160,落後
台南永康心,結構體施工,70,120,180,正常
嘉義文化匯,裝修工程,79,90,110,正常
